"node","degree","betweenness","closeness","eigenvector","symbol","module"
"9606.ENSP00000215565",4,0,0.0227272727272727,0.0224113060307976,"NDUFB7",1
"9606.ENSP00000259457",4,0.833333333333333,0.0303030303030303,0.251371735068579,"PSMB7",2
"9606.ENSP00000259469",14,2.83333333333333,0.0384615384615385,0.962268855404123,"RPL35",3
"9606.ENSP00000342374",16,50.5,0.0434782608695652,0.819319058302018,"SNRPD2",2
"9606.ENSP00000345957",16,8.33333333333333,0.04,0.996525808011399,"RPS21",3
"9606.ENSP00000301939",4,0,0.0227272727272727,0.0224113060307976,"TMEM256",1
"9606.ENSP00000300692",2,0,1,0,"CD3D",4
"9606.ENSP00000355315",14,2.83333333333333,0.0384615384615385,0.962268855404123,"RPL39",3
"9606.ENSP00000379339",14,14,0.0333333333333333,0.873679602362337,"RPS29",3
"9606.ENSP00000321449",4,0,0.0263157894736842,0.294216619163357,"RRP7A",3
"9606.ENSP00000410059",14,5,0.0333333333333333,0.889433736039694,"EEF1D",3
"9606.ENSP00000363191",8,38,0.032258064516129,0.129934309893463,"ROMO1",1
"9606.ENSP00000431822",16,9.33333333333333,0.04,1,"FAU",3
"9606.ENSP00000363330",2,0,1,0,"CD52",4
"9606.ENSP00000418008",2,0,0.0227272727272727,0.128525529419516,"MRPS22",3
"9606.ENSP00000451080",4,0,0.0303030303030303,0.267125868745936,"ERH",2
"9606.ENSP00000476140",2,0,0.0222222222222222,0.0191144166850893,"UQCC2",1
"9606.ENSP00000498019",16,9.33333333333333,0.04,1,"RPS17",3
